player,runs_scored,balls_faced_total,fours,sixes,balls_faced_legal,matches_played,innings_batted,dismissals,not_outs,batting_average,strike_rate,boundary_runs,boundary_percentage,dot_balls_x,dot_ball_percentage_x,highest_score,fifties,hundreds,runs_conceded,balls_bowled_total,wickets,balls_bowled_legal,matches_bowled,innings_bowled,overs_bowled,bowling_average,bowling_strike_rate,economy_rate,maidens,dot_balls_y,dot_ball_percentage_y,fours_conceded,sixes_conceded,no_balls,wides,best_bowling_wickets,best_bowling_runs,catches,stumpings,run_outs,total_fielding,image_id,image_url
A Ashish Reddy,280,196,16,15,193,23,23,15,8,18.66666667,145.0777202,154,55,58,30.05181347,36,0,0,400,270,19,264,20,20,44,21.05263158,13.89473684,9.090909091,0,79,29.92424242,26,20,0,6,3,0,8,0,2,10,,
A Badoni,634,505,46,24,473,35,35,25,10,25.36,134.038055,328,51.73501577,151,31.92389006,59,4,0,37,25,2,25,5,5,4.1,18.5,12.5,8.88,1,5,20,1,2,0,0,1,0,13,0,1,14,,
A Chandila,4,7,0,0,7,2,2,0,2,0,57.14285714,0,0,3,42.85714286,4,0,0,245,234,11,234,12,12,39,22.27272727,21.27272727,6.282051282,0,103,44.01709402,17,10,0,0,4,0,2,0,0,2,,
A Chopra,53,75,7,0,71,6,6,5,1,10.6,74.64788732,28,52.83018868,41,57.74647887,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,,
A Choudhary,25,20,1,1,20,3,3,1,2,25,125,10,40,4,20,15,0,0,144,108,5,102,5,5,17,28.8,20.4,8.470588235,2,42,41.17647059,13,6,0,6,2,0,0,0,0,0,,
A Dananjaya,4,5,0,0,5,1,1,0,1,0,80,0,0,2,40,4,0,0,47,25,0,24,1,1,4,0,0,11.75,0,6,25,2,4,0,1,0,0,0,0,0,0,348839,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/348800/348839.png"
A Flintoff,62,57,5,2,53,3,3,2,1,31,116.9811321,32,51.61290323,20,37.73584906,24,0,0,106,66,2,66,3,3,11,53,33,9.636363636,0,20,30.3030303,7,7,0,0,1,0,3,0,0,3,319745,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319700/319745.png"
A Kamboj,2,2,0,0,2,1,1,0,1,0,100,0,0,0,0,2,0,0,115,68,2,62,3,3,10.2,57.5,31,11.12903226,0,19,30.64516129,10,6,0,6,1,0,3,0,0,3,381389,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/381300/381389.png"
A Kumble,35,49,3,0,47,15,15,2,13,17.5,74.46808511,12,34.28571429,22,46.80851064,8,0,0,1089,983,49,970,42,42,161.4,22.2244898,19.79591837,6.736082474,3,374,38.55670103,72,35,0,13,5,0,9,0,0,9,319930,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/319900/319930.png"
A Manohar,231,181,21,10,174,15,15,14,1,16.5,132.7586207,144,62.33766234,62,35.63218391,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,11,,
A Mishra,381,440,31,5,419,55,55,28,27,13.60714286,90.93078759,154,40.41994751,178,42.48210024,31,0,0,4193,3444,183,3392,162,162,565.2,22.91256831,18.53551913,7.416863208,4,1185,34.93514151,239,184,0,52,5,0,19,0,9,28,323053,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/323000/323053.png"
A Mithun,34,26,4,1,26,6,6,5,1,6.8,130.7692308,22,64.70588235,11,42.30769231,11,0,0,477,312,8,297,16,16,49.3,59.625,37.125,9.636363636,0,90,30.3030303,42,21,0,15,2,0,7,0,1,8,,
A Mukund,19,23,1,0,22,2,2,2,0,9.5,86.36363636,4,21.05263158,8,36.36363636,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,322151,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/322100/322151.png"
